Name_of_Influencer,Insta_Handle,Q_Score,Followers,Avg_Likes,Avg_Views,Engagement_Ratio,Location,Categories
Manav Chhabra,mr.mnv,9.21,1.8m,113.5k,141.3k,6.33%,India,Arts & EntertainmentStyle & Fashion
DIIPA KHOSLA,diipakhosla,9,1.8m,39.9k,0,2.27%,India,Style & FashionClothing
Komal Pandey,komalpandeyofficial,9.2,1.7m,80.6k,767k,4.73%,India,Style & FashionArts & Entertainment
Rhea Kapoor,rheakapoor,8.53,1.7m,16.7k,66k,0.98%,India,Style & FashionArts & Entertainment
Kritika Khurana,thatbohogirl,9.23,1.7m,168.4k,579.9k,9.90%,India,Style & FashionClothing
Anita Dongre,anitadongre,7.67,1.7m,1.9k,13.7k,0.11%,Mumbai,Style & FashionClothing
Ashi Khanna,ashi_khanna,9.21,1.7m,126.7k,167.7k,7.62%,India,Style & FashionBeauty
Masaba Mantena,masabagupta,8.13,1.6m,6.9k,54.7k,0.43%,India,Style & FashionClothing
Riya Sen Dev Varma,riyasendv,8.74,1.5m,26.7k,195.2k,1.80%,India,Arts & EntertainmentMovies
SAM + REET ( Official )????,mr_mrs.narula,9.11,1.5m,45.4k,186.9k,3.08%,Delhi,Style & Fashion
NSB Photography,nsb.pictures,9.2,1.5m,71.8k,147.3k,4.92%,India,LifestyleStyle & Fashion
WeddingSutra,weddingsutra,7.63,1.5m,1.4k,11.6k,0.10%,India,Style & FashionBeauty
Dolly Singh,dollysingh,9.2,1.4m,64.4k,158.3k,4.47%,India,Style & FashionClothing
The WedMeGood Bride,wedmegood,7.76,1.4m,2.9k,51.6k,0.21%,India,Style & FashionBeauty
Sanaya,sanayapithawalla,8.12,1.4m,6.8k,13.6k,0.50%,India,Arts & EntertainmentMovies
Priyanka Khera,priyankakhera08,8.84,1.4m,31.9k,115.6k,2.38%,Delhi,Style & FashionBeauty
TWINKLE SHARMA,twinkle.sharmaa,8.85,1.3m,32k,64.4k,2.43%,New Delhi,LifestyleStyle & Fashion
Palak Sindhwani,palaksindhwani,9.2,1.3m,57.1k,510.8k,4.36%,Mumbai,Style & FashionLifestyle
Miss Malini,missmalini,7.5,1.3m,0.9k,5.7k,0.07%,India,LifestyleStyle & Fashion
Shyamal & Bhumika,shyamalbhumika,7.61,1.3m,1.1k,19.3k,0.09%,India,Style & FashionClothing
Raqesh Bapat,raqeshbapat,9.06,1.3m,41.9k,310.1k,3.36%,India,Arts & EntertainmentStyle & Fashion
Puja Gupta,iampujagupta,8.11,1.2m,6.7k,47k,0.54%,India,Arts & EntertainmentMovies
Rajvee Gandhi,rxjvee,8.74,1.2m,27.1k,46.4k,2.19%,India,Style & FashionClothing
?????????????????? ???????????????,arjunsingh_0804,9.2,1.2m,72k,56.7k,5.94%,Udaipur,Style & FashionLifestyle
Himansh Kohli,befikrelifestyle,9.05,1.2m,42.4k,72k,3.50%,Jammu,LifestyleStyle & Fashion
Deepti Sadhwani,iamdeeptisadhwani,7.76,1.2m,2.8k,18.6k,0.23%,Mumbai,Arts & EntertainmentMovies
Manish Malhotra,manishmalhotraworld,7.69,1.2m,2.1k,63k,0.17%,India,Style & FashionClothing
Ayush Mehra,ayush007,9.21,1.2m,109.7k,512.3k,9.27%,India,Arts & EntertainmentStyle & Fashion
Suraj Pal Singh,suraj.palsingh.961,9.18,1.2m,48.7k,222.7k,4.16%,Jaipur,ClothingFitness
Richi Shah,richi.shah,8.7,1.2m,24.7k,32.5k,2.14%,Mumbai,LifestyleFitness
Meghna Kaur,shetroublemaker,9.07,1.2m,43.7k,70k,3.79%,Mumbai,Style & FashionClothing
Aadil Khan,aadilkhann,8.28,1.2m,8.5k,145.3k,0.75%,India,Arts & EntertainmentStyle & Fashion
Tarun Tahiliani,taruntahiliani,7.62,1.1m,1.2k,9k,0.11%,India,LifestyleStyle & Fashion
Baseer Ali,baseer_bob,9.06,1.1m,43k,97.8k,3.79%,India,Arts & EntertainmentStyle & Fashion
Aza,azafashions,7.69,1.1m,2.1k,44.8k,0.19%,India,Style & FashionClothing
Shalini Chopra,stylish_by_nature,8.63,1.1m,21.6k,275.6k,1.93%,Bengaluru,Food & DrinkStyle & Fashion
Harpal | Fashion Influencer |,im_mr.singh_,5.35,1.1m,0,71.9k,0.01%,Jaipur,Style & FashionLifestyle
KHUSHI GUPTA???????,gowithheflowww,8.84,1.1m,32k,24.8k,2.92%,Delhi,Style & Fashion
Mahir Pandhi,mesmahirising,3.73,1.1m,0,27.5k,0.00%,Mumbai,Style & FashionClothing
Raj Singh Solanki,mr__innocent444,8.85,1.1m,32.7k,27.9k,2.99%,Jaipur,Style & Fashion
Vishal Bhatt,thevishalbhatt,8.24,1.1m,8k,803.3k,0.75%,Mumbai,Style & FashionFitness
PRATIKSHA PAGAR BANKAR,pratikshabankar_official,8.69,1.1m,24.6k,63.7k,2.33%,Nashik,Style & FashionFitness
Lucky | Fashion Influencer |,singhlkyy,8.86,1.1m,32.9k,102.7k,3.15%,Pali,Style & Fashion
ELLE India,elleindia,6.66,1.1m,447,15.2k,0.04%,India,Style & FashionBeauty
B H A R ??T     A I D A S A N I,07bharat,8.43,1.1m,11.7k,315.9k,1.13%,Jodhpur,Style & Fashion
Nikita Upadhyay,nikitaupadhyay,8.41,1m,10.7k,76.3k,1.03%,New Delhi,Style & FashionBeauty
Anmol Bhatia ?? TheStyleBug,anmolbhatia_,8.49,1m,14.7k,91.1k,1.42%,India,LifestyleTravel
?Rajwant ? | INFLUENCER |,therajkaur,7.88,1m,4.2k,818,0.42%,Jaipur,Arts & EntertainmentStyle & Fashion
Alanna Panday,alannapanday,8.75,1m,27.7k,89.1k,2.73%,Mumbai,LifestyleStyle & Fashion
Mradul Mishra,mradul_mishra,9.2,1m,57k,45.7k,5.61%,Bengaluru,Style & FashionAthlete
Swara Bhasker,reallyswara,8.12,1m,6.7k,43.9k,0.68%,India,Arts & EntertainmentMovies
Yashi Tank,yashitak008,9.2,1m,57.4k,298.9k,5.76%,Jaipur,ClothingLifestyle
Malti Chahar,maltichahar,8.97,1m,38.4k,804.7k,3.87%,Mumbai,Style & Fashion
Radhika Seth,radhikasethh,8.96,1m,38k,101.8k,3.85%,Mumbai,LifestyleStyle & Fashion
Shilpa Chaudhary,_shilpa7799,8.9,1m,34.9k,35.9k,3.64%,India,LifestyleStyle & Fashion
Shivangi Verma,shivangi2324,8.53,1m,16.5k,19.7k,1.75%,Mumbai,Style & FashionArts & Entertainment
Namish Taneja,tanejanamish,8.44,1m,12k,33.6k,1.29%,Mumbai,Style & Fashion
Aarushi Dutta,aarushiduttaofficial,9.03,0.9m,41.5k,49.6k,4.44%,Delhi,FitnessLifestyle
Aashna Shroff,aashnashroff,8.42,0.9m,11.2k,25.3k,1.20%,Mumbai,Style & FashionBeauty
Desi Classy Brides,desiclassybrides,7.73,0.9m,2.5k,120.4k,0.27%,Mumbai,Style & FashionBeauty
Ankush Bahuguna,ankushbahuguna,9.02,0.9m,40.9k,192.1k,4.43%,Delhi,Arts & EntertainmentStyle & Fashion
Pernia's Pop-Up Shop,perniaspopupshop,6.3,0.9m,311,15.4k,0.03%,New Delhi,Style & FashionClothing
Aakriti Rana,aakritiranaofficial,8.5,0.9m,15k,51k,1.66%,Pune,LifestyleStyle & Fashion
Harsh,styleonair_,8.62,0.9m,21k,37.2k,2.33%,New Delhi,Style & FashionLifestyle
Sunny Singh,mesunnysingh,8.27,893.5k,8.5k,24.2k,0.96%,Mumbai,MusicStyle & Fashion
Tanzeel,tanzeel_khan03,9.2,873k,80.5k,154.6k,9.33%,Mumbai,Arts & EntertainmentStyle & Fashion
Harshita Shekhar Gaur,harshita1210,9.2,871.9k,59.6k,102.1k,6.87%,India,Arts & EntertainmentStyle & Fashion
Somya Gupta,thesassthing_,8.75,871.8k,27.7k,30.7k,3.19%,Mumbai,Style & FashionBeauty
Nisha Gupta,ng__nishi,3.76,871.4k,0,33.4k,0.00%,Mumbai,LifestyleStyle & Fashion
Chinmayi Sripada,chinmayisripaada,7.7,862.2k,2.2k,38.3k,0.26%,Chennai,Arts & EntertainmentMusic
Aisha,styleetvogue,8.77,852.9k,28.4k,438.7k,3.35%,Kolkata,LifestyleStyle & Fashion
Preksha Rana,preksha_rana_official,8.63,851.3k,21.6k,38.3k,2.58%,Mumbai,MusicStyle & Fashion
Falaq Naaz,falaqnaazz,4.56,846.2k,0,28.8k,0.01%,Mumbai,Style & FashionLifestyle
Sejal Kumar,sejalkumar1195,8.47,841.8k,13.7k,67.1k,1.64%,India,LifestyleStyle & Fashion
Kat Kristian,kat.kristian,9.2,839.7k,50.4k,473.2k,6.02%,Mumbai,Style & Fashion
SNEHA SACHDEVA (Mrs.thakral),snehasachdeva26,9.13,836.2k,46.4k,250.2k,5.58%,Delhi,Family & ParentingLifestyle
BIR  OFFICIAL,bir_ramgarhia,8.79,834.5k,29.5k,119.8k,3.56%,India,Style & FashionLifestyle
Snigdhahelenite,sniggy_chops,8.8,807.7k,29.8k,89.7k,3.72%,Delhi,LifestyleStyle & Fashion
Shivani Singh,shivani.singhh,4.72,804k,0,26.6k,0.01%,Mumbai,Style & FashionClothing
Rohit Khandelwal,rohit_khandelwal77,8.52,800.9k,16.1k,31.2k,2.03%,Hyderabad,FitnessStyle & Fashion
Themoodyvibe,simranbalarjain,9.2,796.3k,54.9k,487.1k,6.93%,Bengaluru,LifestyleStyle & Fashion
Sandra Kadri,sandrakadri,8.49,793.6k,14.5k,38.3k,1.84%,India,Style & FashionBeauty
Vishakha Raghav,vishakharaghavofficial,8.35,784.2k,9.3k,47.1k,1.21%,Delhi,Arts & EntertainmentStyle & Fashion
Lopamudra Raut,lopamudraraut,8.08,778.8k,6.3k,16.8k,0.82%,Mumbai,Style & FashionFitness
Isha Anand Sharma,ishaanandsharmaofficial,8.38,777.4k,9.8k,113k,1.27%,Mumbai,Style & FashionClothing
Varun Verma,varunverrma,8.57,759.4k,18.5k,92.6k,2.45%,New Delhi,LifestyleFitness
Santoshi Shetty,santoshishetty,7.79,755.9k,3.1k,85.1k,0.42%,Mumbai,LifestyleStyle & Fashion
Sobhita Dhulipala,sobhitad,9.05,750.4k,42.6k,80.7k,5.70%,India,Arts & EntertainmentStyle & Fashion
Archana Kochhar,archanakochharofficial,7.89,747.2k,4.4k,45.5k,0.58%,Mumbai,Style & FashionBeauty
Janvi Singh,janvi_223,8.17,741.7k,7.3k,24.3k,1.00%,Mumbai,Style & FashionBeauty
Santwinder Singh,santwinder_singh_waraich,8.2,741k,7.7k,21.3k,1.05%,Chandigarh,FitnessStyle & Fashion
Kirandeep Kaur,kanika868,4.65,739.9k,0,48.4k,0.01%,Delhi,Style & FashionClothing
Arsh,arshfam,9.02,732.5k,40.8k,107.9k,5.63%,Chandigarh,Arts & EntertainmentStyle & Fashion
Nibeditaa Paal,i_nibedita,7.87,728.7k,4.1k,11.1k,0.57%,India,Arts & EntertainmentStyle & Fashion
Himanshi,thatglamgirl__,8.69,720.5k,24.7k,167.6k,3.44%,Kolkata,Style & FashionBeauty
Neha,nehadogra,7.61,716.3k,1.1k,5.5k,0.16%,India,Style & FashionClothing
Alankrita Sahai,ladykrita,9.13,707.7k,46.5k,84.9k,6.60%,Delhi,LifestyleStyle & Fashion
Disha Madan,disha.madan,9.2,697.1k,52k,239.8k,7.47%,Bengaluru,Arts & EntertainmentDance
Neeraja Kona,neeraja.kona,7.81,696.2k,3.5k,97.6k,0.50%,Hyderabad,Style & FashionClothing
Deeksha Khurana,deekshakhurana,9,692.7k,40.2k,64.7k,5.81%,New Delhi,LifestyleStyle & Fashion
Saloni Sehra,saloniseh,4.52,691.9k,0,63.2k,0.01%,Delhi,Style & FashionClothing
Larissa D'sa,larissa_wlc,8.67,690.5k,23.5k,56.2k,3.43%,Mumbai,LifestyleStyle & Fashion
Bridal Asia,bridalasia,2.16,687.8k,0,11.4k,0.00%,New Delhi,Style & FashionClothing
MyGlamm,myglamm,6.5,680k,376,22.8k,0.06%,India,Style & FashionBeauty
MeenakshiDuttMakeovers,meenakshiduttmakeoversdelhi,2,678.4k,0,0,0.00%,New Delhi,Style & FashionBeauty
Ami Patel,stylebyami,7.7,661.7k,2.1k,29.7k,0.32%,Mumbai,Style & Fashion
Ashima Sharma,ashimasharma_official,7.79,656k,3.1k,83k,0.49%,Noida,Style & FashionClothing
Danish Khan,danishkhan.im,9.04,655.7k,41.9k,112.8k,6.43%,Jammu,Style & Fashion
Rachel - PropShop24,propshop24,6.54,649.2k,385,23.5k,0.06%,India,LifestyleStyle & Fashion
Insha Ghai,inshaghaii,7.77,649k,2.9k,116.3k,0.45%,New Delhi,Style & FashionClothing
Nivrity Das,nivrity_das,9.05,645.9k,42.5k,185.7k,6.63%,Kolkata,LifestyleStyle & Fashion
Kashish Chopra,imkashishanitaawadh,7.15,640.2k,706,9.2k,0.11%,Mumbai,Style & FashionClothing
The Formal Edit,theformaledit,8.72,630.7k,25.9k,59.2k,4.15%,Delhi,LifestyleStyle & Fashion
Akshata Sonawane,akshatasonawane,8.41,627k,10.6k,44.8k,1.70%,Mumbai,Arts & EntertainmentStyle & Fashion
Amy Chhabra,amy_chhabra,8.6,627k,20.2k,407.8k,3.23%,New Delhi,LifestyleStyle & Fashion
Dc ??,dcshoot7,8.18,620.7k,7.5k,17.8k,1.22%,Jalandhar,Style & Fashion
Ariya Hegde,ariya_hegde,8.57,619.8k,18.7k,110.3k,3.04%,Bengaluru,LifestyleStyle & Fashion
Urmila Matondkar,urmilamatondkarofficial,8.28,618.8k,8.5k,35k,1.41%,Mumbai,Style & FashionLifestyle
Vipul Juneja,vipul_juneja,8.94,609.9k,36.9k,125.1k,6.08%,Delhi,Style & FashionClothing
Pragya Nagra,pragyanagra,9.2,609.8k,57.3k,73.9k,9.44%,Chennai,Arts & EntertainmentStyle & Fashion
G O P A L,iam_gopalsharma,8.37,607.4k,9.7k,9.3k,1.61%,Jaipur,Style & FashionTravel
Thomson Sequeira,limitless_adventurer,8.62,604.5k,21.2k,73k,3.54%,Mumbai,TravelLifestyle
Shruti Yogi,yogishruti,7.83,601.8k,3.5k,13.5k,0.61%,Mumbai,Style & FashionClothing
Glamrs,beglamrs,6.97,598.3k,596,11.8k,0.10%,India,LifestyleStyle & Fashion
Captain 787,keepem.flying787,8.47,592.3k,13.7k,89.9k,2.35%,Uttar Pradesh,Style & FashionLifestyle
Shantanunikhil,shantanunikhil,8.46,588.7k,13.3k,13.2k,2.26%,New Delhi,Style & FashionClothing
?? ????? ??,itsmemeenal_,8.51,587k,15.5k,84.4k,2.66%,Hyderabad,Style & Fashion
Mahesh Keshwala Official ©,maheshkeshwala,9.21,586.6k,97.1k,82.6k,16.73%,Mumbai,Style & FashionFitness
Pooja Mundhra,thecozyvibe,8.51,584.5k,15.5k,89.1k,2.67%,Mumbai,Style & Fashion
Nikita Madhani,nikitadmadhani,8.37,582.6k,9.7k,38.4k,1.67%,Mumbai,LifestyleStyle & Fashion
Westside,westsidestores,6.04,579.1k,209,3.9k,0.04%,India,Style & FashionClothing
#meghana,rowdy__megha,8.83,574.6k,31.5k,0,5.51%,Chennai,Style & FashionClothing
Shruti Arjun Anand,shrutiarjunanand,7.96,568.9k,5.1k,590.8k,0.90%,India,LifestyleStyle & Fashion
Feisty Fox Diaries,feistyfoxdiaries,8.26,566.5k,8.4k,52.8k,1.50%,Mumbai,LifestyleStyle & Fashion
Harper'sBazaar Bride,bazaarbridein,2,565.7k,775,22.2k,0.14%,Mumbai,Style & FashionBeauty
Gaurav Gupta,gauravguptaofficial,7.8,560.4k,3.3k,23.2k,0.60%,Delhi,Style & FashionClothing
Saheli ??????????,_bongprincess_,8.35,560.2k,9.3k,12.3k,1.69%,Kolkata,Style & FashionBeauty
Malvika Sitlani,malvikasitlaniofficial,9.11,552k,45.5k,138.5k,8.27%,Mumbai,Style & FashionBeauty
Anupria Goenka,goenkaanupriya,8.29,545.2k,8.8k,20.7k,1.62%,Mumbai,Arts & EntertainmentStyle & Fashion
OVertone,overtonecolor,6.25,543.5k,291,7.2k,0.05%,Assam,Style & Fashion
Pinkvilla Fashion,pinkvillafashion,7.65,541.1k,1.6k,14.6k,0.30%,Mumbai,Style & FashionBeauty
Vitasta Bhat,vitastabhat,3.84,537.3k,0,106.4k,0.01%,Mumbai,Style & Fashion
Anaita Shroff Adajania,anaitashroffadajania,7.82,536k,3.4k,13.5k,0.65%,Mumbai,Style & FashionBeauty
Aakriti Singh,aakriti17_tis,7.41,530.2k,0,170.3k,0.17%,New Delhi,Style & FashionLifestyle
J A Y    D U D H A N E,jaydudhaneofficial,8.65,528.7k,22.5k,179k,4.29%,Mumbai,Arts & EntertainmentStyle & Fashion
Nikki,nikitabhamidipati,9.2,527.5k,56.5k,149.2k,10.76%,Mumbai,Arts & EntertainmentStyle & Fashion
Shubhika,papadontpreachbyshubhika,7.68,524.3k,2k,8.7k,0.38%,Mumbai,LifestyleStyle & Fashion
Mridul™,mridul.meena17,8.83,520.7k,31.8k,89.9k,6.13%,Ajmer,TravelStyle & Fashion
Rajni Khaitan | TheClicChic,theclicchic,8.48,520.5k,14.5k,244.4k,2.78%,Kolkata,Arts & EntertainmentStyle & Fashion
Juhi Godambe,juhigodambe,8.42,518.7k,11.1k,49.4k,2.15%,Mumbai,LifestyleStyle & Fashion
Fizah Khan,thefizahkhan,8.24,517.6k,8.2k,77.2k,1.59%,India,Style & FashionBeauty
Nilam Parmar,nilamparmarr,8.48,516.8k,14.3k,140.9k,2.77%,Mumbai,Style & FashionLifestyle
Aayushi Malik,aayushimalikk,8.47,515k,13.6k,56.3k,2.66%,New Delhi,LifestyleStyle & Fashion
Megha Bajaj,meghabajaj,8.41,512.3k,10.8k,84.7k,2.13%,Mumbai,Style & FashionBeauty
ManjeeT SingH ®™,themrsingh,8.24,511.5k,8.2k,41k,1.62%,Jaipur,Style & FashionLifestyle
Sonali Malhotra,sonali_malhotraa,8.08,511.4k,6.4k,20.5k,1.26%,Mumbai,Style & FashionBeauty
Mohit Khandelwal,mohit_khandelwal__,8.6,511.1k,20.1k,92.6k,3.93%,Jaipur,Style & FashionLifestyle
Gaurav,gaurav.__.sharma,8.5,510.1k,15.1k,71.8k,2.98%,Mumbai,Arts & EntertainmentStyle & Fashion
Kajal Kothari,kajalkothariofficial,8.46,509.4k,13.1k,52.7k,2.58%,Mumbai,Style & FashionBeauty
Shifa Merchant,sassyshifsays,8.34,508.2k,9.3k,178.9k,1.85%,Mumbai,LifestyleStyle & Fashion
Sakshi Sindwani,stylemeupwithsakshi,8.24,508k,8.2k,226.4k,1.62%,New Delhi,LifestyleStyle & Fashion
Chitranshi,chitranshi_dhyani,8.01,507.7k,5.5k,19.8k,1.11%,Mumbai,Style & FashionLifestyle
Vaishali,thefuschiamermaid,8.58,507.7k,19.2k,106.5k,3.80%,Delhi,Style & FashionLifestyle
Mehak Ghai,mehakghaiii,8.14,505.9k,7.1k,18.7k,1.41%,Delhi,LifestyleStyle & Fashion
Samidha Singh,samidhasinghh,7.86,505.8k,4k,25.5k,0.79%,Mumbai,LifestyleStyle & Fashion
Abhishek Kumar,aebyborntoshine,9.06,505.5k,42.9k,72.7k,8.55%,Mumbai,Arts & EntertainmentStyle & Fashion
Satvik Sankhyan,satviksankhyan,9.02,501.4k,39.2k,155.2k,8.21%,Chandigarh,Style & FashionClothing
Payal Singhal,payalsinghal,6.32,499k,314,7.8k,0.06%,Mumbai,Style & FashionClothing
POPxoDaily,popxodaily,7.63,496.7k,1.3k,2.6k,0.27%,India,LifestyleStyle & Fashion
Raw Mango,raw_mango,6.84,496.2k,525,4.9k,0.11%,India,Style & FashionClothing
Mahesh Kumar,iammaheshkumar,8.41,475.1k,10.7k,104.8k,2.27%,Pune,Style & FashionClothing
Shaleena Nathani,shaleenanathani,8.06,475k,6.1k,20.6k,1.30%,Mumbai,Style & Fashion
SHITIJ VERMA,shitijvermaaa_,8.48,470.5k,14.2k,102.3k,3.04%,New Delhi,Style & FashionGeneral
Shweta Pal,shwetaapal,8.42,469.5k,11.1k,91.5k,2.39%,Delhi,Style & FashionClothing
Asmita Arora,asmitarora,7.85,462.4k,3.8k,27.4k,0.84%,Delhi,Style & FashionBeauty
Nikimehra,nikimehra,8.36,461.5k,9.5k,40.2k,2.07%,New Delhi,Style & FashionBeauty
Saanya Khatter,saanyaakhatterr,5.05,459.8k,0,21.4k,0.02%,Faridabad,Style & FashionLifestyle
Shreya Jain,shreyajain26,8.4,457.5k,10.4k,80.1k,2.28%,India,Style & FashionBeauty
Vaibhav Keswani,pehenawah,8.34,456.2k,9.4k,61.8k,2.06%,Delhi,Style & FashionClothing
????????????,_prayasss,8.58,454.7k,18.7k,114.5k,4.19%,Punjab,FitnessStyle & Fashion
SOMI KHAN,somikhan_ks,7.73,452.6k,2.5k,51.1k,0.56%,Jaipur,Style & Fashion
Mahhima Kottary,mahhimakottary,4.51,451.8k,0,99k,0.01%,Mumbai,Style & FashionBeauty
Riya Pant,riyapant,8.07,448.3k,6.3k,17.5k,1.42%,Mumbai,Style & FashionClothing
Cosmopolitan India,cosmoindia,6.64,447.3k,440,19.4k,0.10%,New Delhi,Style & FashionBeauty
IDiva,idivaofficial,7.85,446k,3.8k,156.2k,0.86%,Gurgaon,LifestyleStyle & Fashion
Lofty Spectrums,loftyspectrums,7.81,442.2k,3.3k,26.9k,0.78%,Bengaluru,LifestyleStyle & Fashion
Charvi Dutta,charvi_dutta,8.24,440.8k,8.1k,9.8k,1.87%,Mumbai,Style & FashionBeauty
Hitesh Mehta ?,hitechy,8.81,432.1k,22k,139.4k,7.11%,Mumbai,Style & Fashion
Neha Menghwani | Stylessential,neha_menghwani,3.81,431.4k,0,61.2k,0.01%,Mumbai,Style & FashionLifestyle
MSK,msk_s1991,9.2,430.5k,56.8k,183.7k,13.23%,Mumbai,Style & FashionTravel
Shalini Samuel,knot_me_pretty,7.68,428.2k,1.9k,8.8k,0.45%,India,LifestyleStyle & Fashion
Pooja Ramachandran,pooja_ramachandran,7.79,425.9k,3.2k,9.8k,0.76%,Chennai,Style & FashionLifestyle
Kevin Almasifar,kevinalmasifar,9.06,422.7k,43k,0,10.21%,Mumbai,Style & FashionFitness
Rohit Bal,rohitbalofficial,6.85,418.7k,526,4.7k,0.13%,New Delhi,Style & FashionClothing
The Haelli,the_haelli,6.61,417.6k,398,12.8k,0.10%,Gurgaon,Style & FashionClothing
Anushka Sharma,reel_anushka,9.04,413.2k,42.2k,119k,10.27%,Delhi,LifestyleStyle & Fashion
JESIKA,peachy_vibe,8.15,413.1k,7.2k,91.1k,1.75%,Mumbai,LifestyleStyle & Fashion
Conceptual Freelancer Model ????,akash_arora__,8.66,412.8k,23.1k,96.1k,5.68%,Haridwar,Style & Fashion
Megha Bhunia,vogue.invein,8.19,412k,7.6k,213.2k,1.86%,Kolkata,LifestyleStyle & Fashion
Pallavi Ruhail,pallavisinghtdg,8.33,411.5k,9.2k,60.6k,2.24%,New Delhi,LifestyleStyle & Fashion
Houseofmisu,houseofmisu,7.69,409k,2.1k,12.4k,0.51%,Mumbai,LifestyleStyle & Fashion
Caught In A Cuff,caughtinacuff,7.85,406.8k,3.8k,19.2k,0.94%,Mumbai,LifestyleStyle & Fashion
Neeta Lulla,neeta_lulla,7.37,405.7k,849,3.1k,0.21%,Mumbai,Style & FashionClothing
Praduman Kaushik,pradumankaushikofficial,8.25,404.2k,8.3k,60.6k,2.06%,New Delhi,LifestyleStyle & Fashion
Sagar Midda,sagarmidda,4.16,402.9k,0,14.6k,0.01%,New Delhi,Style & FashionFitness
Agnijita Banerjee,agnijitabanerjee,7.77,402.1k,2.9k,23.9k,0.75%,Mumbai,Style & FashionClothing
T H E  C U R L  G I R L?,curlgirlofficial,8.29,393.6k,8.7k,57.6k,2.23%,Mumbai,LifestyleStyle & Fashion
Pipa + Bella,pipabella,5.56,390.3k,143,2.3k,0.04%,Mumbai,Style & FashionClothing
THE INDIAN SPOT,littlediypage,7.62,387.7k,1.3k,61.4k,0.34%,India,Style & FashionBeauty
Femina Miss India,missindiaorg,7.67,386.4k,1.8k,7.2k,0.48%,India,LifestyleStyle & Fashion
MCaffeine,mcaffeineofficial,7.6,385k,1k,14.8k,0.27%,Mumbai,Style & FashionBeauty
Mia Lakra,mialakraofficial,8.49,381.6k,14.7k,12.5k,3.86%,Delhi,Style & FashionArts & Entertainment
SimplyMyStyle!! Unni,simplymystyle_unni,8.57,381.4k,18.7k,100.6k,4.91%,India,Style & FashionBeauty
Shubhi Bharal || ThePinkCreed,thattrendstalker,8.5,374.2k,15.2k,35.7k,4.07%,New Delhi,Style & FashionClothing
Mayank Rehani,mayankrehanii,8.49,371k,14.5k,88.1k,3.95%,Ghaziabad,Style & Fashion
Alexa Carolina C.,sohotsomealex,7.82,368.8k,3.5k,25.1k,0.97%,Assam,Style & FashionClothing
Pryanca Talukdar,pryanca_t,3.6,365.9k,0,4.7k,0.01%,Mumbai,LifestyleStyle & Fashion
Bhavini Purohit,purohitbhavini,7.77,361.3k,2.9k,33.9k,0.81%,Mumbai,Arts & EntertainmentMovies
Teena Singh,teesuperfly,7.7,360.7k,2.1k,7.1k,0.60%,Ludhiana,Style & Fashion
Pranwesha,pranwesha,7.82,357.2k,3.5k,52.4k,0.99%,Bengaluru,LifestyleStyle & Fashion
Lisha B,lishabatta,8.38,355.4k,9.8k,60.1k,2.78%,New Delhi,LifestyleStyle & Fashion
Sheen Dass,sheendass,7.83,353.5k,3.5k,16k,1.02%,Mumbai,Style & Fashion
Deeva,dusheni_s,8.21,352.7k,7.8k,51.9k,2.25%,Mumbai,Style & Fashion
Lokesh Sharma,lokeshsharmaofficial,7.84,352.4k,3.8k,30.1k,1.08%,Delhi,Style & Fashion
Bahaar,bahaar_art,7.68,352.4k,1.9k,45.8k,0.54%,New Delhi,LifestyleStyle & Fashion
?? Mr Sajan ?? INFLUENCER,sajansangrur,7.69,352.2k,2.1k,108.7k,0.60%,Sangrur,Style & Fashion
Sonakshi Singh,sonakshisinghrawat,8.04,351.2k,6k,29.5k,1.72%,Mumbai,Style & Fashion
ENSEMBLE,ensembleindia,6.31,351.1k,314,4.3k,0.09%,Mumbai,Style & FashionClothing
Jeysha Tripathi,stylenaughty,8,350.4k,5.6k,49.8k,1.60%,Delhi,LifestyleStyle & Fashion
Rahul Mishra,rahulmishra_7,2.4,349.6k,0,6k,0.00%,Delhi,Style & FashionClothing
Adhvithi Shetty,adhvithi_shetty_official,7.79,348.7k,3.1k,11.2k,0.91%,Mangalore,Arts & EntertainmentMovies
Vrushali Vachhiyat,vru_vachhiyat,8.22,347k,8k,120.4k,2.31%,Surat,Style & FashionLifestyle
I.am.priceless,anmol_rodriguez_official,8.18,346.5k,7.4k,0,2.17%,Mumbai,Style & FashionLifestyle
Rajat Sharma,iamrajatsharma,4.08,344.1k,0,53.5k,0.01%,New Delhi,Style & Fashion
M I N I  S I N G H A I,mini.singhai05,4.44,344k,0,4.6k,0.02%,Indore,Style & FashionBeauty
Krisha Jain || Dress A Little,jain_krisha,7.87,343.2k,4.1k,41.7k,1.21%,Mumbai,LifestyleStyle & Fashion
Ashish Singh,thevanquishment,7.74,340.6k,2.5k,17.1k,0.78%,Chandigarh,LifestyleStyle & Fashion
Creative Fashion Indian Stuff™,creative_fashion_point,6.48,338.8k,378,0,0.11%,India,LifestyleStyle & Fashion
Pooja Mittal,poojamittal09,8.56,334.9k,18k,136.3k,5.39%,Ghaziabad,Style & FashionBeauty
Shereen Sikka Bharwani,shereenlovebug,7.09,334k,667,8.6k,0.21%,Mumbai,Style & FashionClothing
Ankita Srivastava,corallistablog,7.65,332.2k,1.6k,14.5k,0.49%,Mumbai,Style & FashionBeauty
Okhai.Org,okhai_org,5.81,330.6k,172,2.4k,0.05%,Mumbai,Style & FashionClothing
